week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id,home_goals,away_goals
1,Sat,2023-08-19,18:30,Empoli,0.7,0–1,0.5,Hellas Verona,7940.0,Stadio Carlo Castellani,Luca Massimi,/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A,,b787871d,0.0,1.0
1,Sat,2023-08-19,18:30,Frosinone,0.9,1–3,1.5,Napoli,15822.0,Stadio Benito Stirpe,Matteo Marcenaro,/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A,,305afcf5,1.0,3.0
1,Sat,2023-08-19,20:45,Genoa,0.2,1–4,1.0,Fiorentina,33045.0,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A,,8260e428,1.0,4.0
1,Sat,2023-08-19,20:45,Inter,2.7,2–0,0.8,Monza,72509.0,Stadio Giuseppe Meazza,Andrea Colombo,/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A,,254420f7,2.0,0.0
1,Sun,2023-08-20,20:45,Lecce,1.4,2–1,1.6,Lazio,29081.0,Stadio Comunale Via Del Mare,Federico Dionisi,/en/matches/3e38d727/Lecce-Lazio-August-20-2023-Serie-A,,3e38d727,2.0,1.0
1,Sun,2023-08-20,18:30,Roma,1.9,2–2,0.1,Salernitana,62050.0,Stadio Olimpico,Ermanno Feliciani,/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A,,9191f715,2.0,2.0
1,Sun,2023-08-20,18:30,Sassuolo,0.4,0–2,1.3,Atalanta,12298.0,Mapei Stadium - Città del Tricolore,Matteo Marchetti,/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A,,32dc37db,0.0,2.0
1,Sun,2023-08-20,20:45,Udinese,1.0,0–3,1.8,Juventus,24911.0,Bluenergy Stadium,Antonio Rapuano,/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A,,8b6e8a62,0.0,3.0
1,Mon,2023-08-21,20:45,Bologna,1.0,0–2,0.9,Milan,30203.0,Stadio Renato Dall'Ara,Luca Pairetto,/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A,,93dccf6e,0.0,2.0
1,Mon,2023-08-21,18:30,Torino,1.0,0–0,0.4,Cagliari,20296.0,Stadio Olimpico di Torino,Francesco Cosso,/en/matches/fdc03e7f/Torino-Cagliari-August-21-2023-Serie-A,,fdc03e7f,0.0,0.0
2,Sat,2023-08-26,18:30,Frosinone,0.7,2–1,1.6,Atalanta,13426.0,Stadio Benito Stirpe,Juan Sacchi,/en/matches/0b355cdd/Frosinone-Atalanta-August-26-2023-Serie-A,,0b355cdd,2.0,1.0
2,Sat,2023-08-26,20:45,Hellas Verona,0.7,2–1,1.5,Roma,23147.0,Stadio Marc'Antonio Bentegodi,Daniele Doveri,/en/matches/3c6a9d3d/Hellas-Verona-Roma-August-26-2023-Serie-A,,3c6a9d3d,2.0,1.0
2,Sat,2023-08-26,20:45,Milan,3.0,4–1,0.5,Torino,72013.0,Stadio Giuseppe Meazza,Maurizio Mariani,/en/matches/4cc2731e/Milan-Torino-August-26-2023-Serie-A,,4cc2731e,4.0,1.0
2,Sat,2023-08-26,18:30,Monza,2.0,2–0,1.0,Empoli,8155.0,U-Power Stadium,Gianluca Aureliano,/en/matches/3d880bc3/Monza-Empoli-August-26-2023-Serie-A,,3d880bc3,2.0,0.0
2,Sun,2023-08-27,18:30,Fiorentina,1.3,2–2,0.3,Lecce,34604.0,Stadio Artemio Franchi,Maria Sole Ferrieri Caputi,/en/matches/d179c57a/Fiorentina-Lecce-August-27-2023-Serie-A,,d179c57a,2.0,2.0
2,Sun,2023-08-27,18:30,Juventus,0.8,1–1,0.5,Bologna,36107.0,Allianz Stadium,Marco Di Bello,/en/matches/6992283e/Juventus-Bologna-August-27-2023-Serie-A,,6992283e,1.0,1.0
2,Sun,2023-08-27,20:45,Lazio,1.4,0–1,0.6,Genoa,40000.0,Stadio Olimpico,Livio Marinelli,/en/matches/e7878318/Lazio-Genoa-August-27-2023-Serie-A,,e7878318,0.0,1.0
2,Sun,2023-08-27,20:45,Napoli,3.5,2–0,0.2,Sassuolo,46925.0,Stadio Diego Armando Maradona,Antonio Giua,/en/matches/4401df22/Napoli-Sassuolo-August-27-2023-Serie-A,,4401df22,2.0,0.0
2,Mon,2023-08-28,20:45,Cagliari,0.6,0–2,0.9,Inter,16412.0,Unipol Domus,Michael Fabbri,/en/matches/631e94b3/Cagliari-Internazionale-August-28-2023-Serie-A,,631e94b3,0.0,2.0
2,Mon,2023-08-28,18:30,Salernitana,0.5,1–1,0.8,Udinese,20000.0,Stadio Arechi,Davide Massa,/en/matches/767c80b3/Salernitana-Udinese-August-28-2023-Serie-A,,767c80b3,1.0,1.0
3,Fri,2023-09-01,20:45,Roma,0.7,1–2,1.5,Milan,61690.0,Stadio Olimpico,Antonio Rapuano,/en/matches/03e9b7f3/Roma-Milan-September-1-2023-Serie-A,,03e9b7f3,1.0,2.0
3,Fri,2023-09-01,18:30,Sassuolo,1.7,3–1,0.6,Hellas Verona,10356.0,Mapei Stadium - Città del Tricolore,Marco Piccinini,/en/matches/ebe46174/Sassuolo-Hellas-Verona-September-1-2023-Serie-A,,ebe46174,3.0,1.0
3,Sat,2023-09-02,20:45,Atalanta,1.3,3–0,0.4,Monza,14985.0,Gewiss Stadium,Matteo Marcenaro,/en/matches/6e72c38b/Atalanta-Monza-September-2-2023-Serie-A,,6e72c38b,3.0,0.0
3,Sat,2023-09-02,18:30,Bologna,2.3,2–1,0.5,Cagliari,22818.0,Stadio Renato Dall'Ara,Daniele Orsato,/en/matches/1b8aeae3/Bologna-Cagliari-September-2-2023-Serie-A,,1b8aeae3,2.0,1.0
3,Sat,2023-09-02,20:45,Napoli,1.3,1–2,0.6,Lazio,42000.0,Stadio Diego Armando Maradona,Andrea Colombo,/en/matches/2c2145a0/Napoli-Lazio-September-2-2023-Serie-A,,2c2145a0,1.0,2.0
3,Sat,2023-09-02,18:30,Udinese,1.5,0–0,1.8,Frosinone,20116.0,Bluenergy Stadium,Marco Guida,/en/matches/6a639449/Udinese-Frosinone-September-2-2023-Serie-A,,6a639449,0.0,0.0
3,Sun,2023-09-03,20:45,Empoli,0.3,0–2,2.7,Juventus,15702.0,Stadio Carlo Castellani,Giovanni Ayroldi,/en/matches/b14694a6/Empoli-Juventus-September-3-2023-Serie-A,,b14694a6,0.0,2.0
3,Sun,2023-09-03,18:30,Inter,3.7,4–0,0.4,Fiorentina,72739.0,Stadio Giuseppe Meazza,Matteo Marchetti,/en/matches/c59bb445/Internazionale-Fiorentina-September-3-2023-Serie-A,,c59bb445,4.0,0.0
3,Sun,2023-09-03,20:45,Lecce,1.7,2–0,1.1,Salernitana,28052.0,Stadio Comunale Via Del Mare,Luca Massimi,/en/matches/79dc2417/Lecce-Salernitana-September-3-2023-Serie-A,,79dc2417,2.0,0.0
3,Sun,2023-09-03,18:30,Torino,0.4,1–0,0.2,Genoa,24433.0,Stadio Olimpico di Torino,Daniele Chiffi,/en/matches/83d4ffcd/Torino-Genoa-September-3-2023-Serie-A,,83d4ffcd,1.0,0.0
4,Sat,2023-09-16,20:45,Genoa,1.2,2–2,0.9,Napoli,33275.0,Stadio Comunale Luigi Ferraris,Michael Fabbri,/en/matches/528f1128/Genoa-Napoli-September-16-2023-Serie-A,,528f1128,2.0,2.0
4,Sat,2023-09-16,18:00,Inter,2.6,5–1,1.1,Milan,75571.0,Stadio Giuseppe Meazza,Simone Sozza,/en/matches/10a39d69/Derby-della-Madonnina-Internazionale-Milan-September-16-2023-Serie-A,,10a39d69,5.0,1.0
4,Sat,2023-09-16,15:00,Juventus,2.2,3–1,0.6,Lazio,40652.0,Allianz Stadium,Fabio Maresca,/en/matches/b3226234/Juventus-Lazio-September-16-2023-Serie-A,,b3226234,3.0,1.0
4,Sun,2023-09-17,12:30,Cagliari,1.6,0–0,0.7,Udinese,15121.0,Unipol Domus,Daniele Doveri,/en/matches/3ac89aa7/Cagliari-Udinese-September-17-2023-Serie-A,,3ac89aa7,0.0,0.0
4,Sun,2023-09-17,18:00,Fiorentina,1.1,3–2,0.7,Atalanta,32100.0,Stadio Artemio Franchi,Luca Pairetto,/en/matches/2a18afe9/Fiorentina-Atalanta-September-17-2023-Serie-A,,2a18afe9,3.0,2.0
4,Sun,2023-09-17,15:00,Frosinone,2.8,4–2,1.3,Sassuolo,13133.0,Stadio Benito Stirpe,Alessandro Prontera,/en/matches/f3fd4b8a/Frosinone-Sassuolo-September-17-2023-Serie-A,,f3fd4b8a,4.0,2.0
4,Sun,2023-09-17,15:00,Monza,2.2,1–1,0.9,Lecce,13074.0,U-Power Stadium,Livio Marinelli,/en/matches/3cf257a0/Monza-Lecce-September-17-2023-Serie-A,,3cf257a0,1.0,1.0
4,Sun,2023-09-17,20:45,Roma,2.4,7–0,0.2,Empoli,61443.0,Stadio Olimpico,Juan Sacchi,/en/matches/f164bc78/Roma-Empoli-September-17-2023-Serie-A,,f164bc78,7.0,0.0
4,Mon,2023-09-18,20:45,Hellas Verona,0.4,0–0,0.6,Bologna,18863.0,Stadio Marc'Antonio Bentegodi,Federico La Penna,/en/matches/2e114c4b/Hellas-Verona-Bologna-September-18-2023-Serie-A,,2e114c4b,0.0,0.0
4,Mon,2023-09-18,18:30,Salernitana,0.7,0–3,1.8,Torino,15480.0,Stadio Arechi,Antonio Giua,/en/matches/a9334418/Salernitana-Torino-September-18-2023-Serie-A,,a9334418,0.0,3.0
5,Fri,2023-09-22,20:45,Lecce,0.9,1–0,0.3,Genoa,27000.0,Stadio Comunale Via Del Mare,Antonio Rapuano,/en/matches/c66e200a/Lecce-Genoa-September-22-2023-Serie-A,,c66e200a,1.0,0.0
5,Fri,2023-09-22,18:30,Salernitana,1.1,1–1,0.7,Frosinone,16217.0,Stadio Arechi,Marco Piccinini,/en/matches/da7586b5/Salernitana-Frosinone-September-22-2023-Serie-A,,da7586b5,1.0,1.0
5,Sat,2023-09-23,20:45,Lazio,1.0,1–1,1.2,Monza,36000.0,Stadio Olimpico,Rosario Abisso,/en/matches/5778b5c6/Lazio-Monza-September-23-2023-Serie-A,,5778b5c6,1.0,1.0
5,Sat,2023-09-23,15:00,Milan,0.9,1–0,0.6,Hellas Verona,71070.0,Stadio Giuseppe Meazza,Fabio Maresca,/en/matches/bbc5eb68/Milan-Hellas-Verona-September-23-2023-Serie-A,,bbc5eb68,1.0,0.0
5,Sat,2023-09-23,18:00,Sassuolo,1.6,4–2,1.2,Juventus,20141.0,Mapei Stadium - Città del Tricolore,Andrea Colombo,/en/matches/14cf8fd1/Sassuolo-Juventus-September-23-2023-Serie-A,,14cf8fd1,4.0,2.0
5,Sun,2023-09-24,15:00,Atalanta,1.7,2–0,0.8,Cagliari,14739.0,Gewiss Stadium,Ermanno Feliciani,/en/matches/915c6bb6/Atalanta-Cagliari-September-24-2023-Serie-A,,915c6bb6,2.0,0.0
5,Sun,2023-09-24,18:00,Bologna,0.2,0–0,2.1,Napoli,26621.0,Stadio Renato Dall'Ara,Giovanni Ayroldi,/en/matches/17137b70/Bologna-Napoli-September-24-2023-Serie-A,,17137b70,0.0,0.0
5,Sun,2023-09-24,12:30,Empoli,0.3,0–1,1.6,Inter,15651.0,Stadio Carlo Castellani,Matteo Marcenaro,/en/matches/8d6212de/Empoli-Internazionale-September-24-2023-Serie-A,,8d6212de,0.0,1.0
5,Sun,2023-09-24,20:45,Torino,0.9,1–1,1.4,Roma,23299.0,Stadio Olimpico di Torino,Marco Guida,/en/matches/fdd625ef/Torino-Roma-September-24-2023-Serie-A,,fdd625ef,1.0,1.0
5,Sun,2023-09-24,15:00,Udinese,2.2,0–2,0.5,Fiorentina,21229.0,Bluenergy Stadium,Daniele Chiffi,/en/matches/a7ffc8e0/Udinese-Fiorentina-September-24-2023-Serie-A,,a7ffc8e0,0.0,2.0
6,Tue,2023-09-26,20:45,Juventus,1.4,1–0,0.1,Lecce,37498.0,Allianz Stadium,Antonio Giua,/en/matches/eb1af48a/Juventus-Lecce-September-26-2023-Serie-A,,eb1af48a,1.0,0.0
6,Wed,2023-09-27,18:30,Cagliari,0.9,1–3,2.1,Milan,16348.0,Unipol Domus,Federico La Penna,/en/matches/520c6833/Cagliari-Milan-September-27-2023-Serie-A,,520c6833,1.0,3.0
6,Wed,2023-09-27,18:30,Empoli,3.2,1–0,0.6,Salernitana,7979.0,Stadio Carlo Castellani,Antonio Rapuano,/en/matches/46a8983c/Empoli-Salernitana-September-27-2023-Serie-A,,46a8983c,1.0,0.0
6,Wed,2023-09-27,18:30,Hellas Verona,0.5,0–1,1.2,Atalanta,15936.0,Stadio Marc'Antonio Bentegodi,Federico Dionisi,/en/matches/3e492e66/Hellas-Verona-Atalanta-September-27-2023-Serie-A,,3e492e66,0.0,1.0
6,Wed,2023-09-27,20:45,Inter,0.9,1–2,1.0,Sassuolo,70864.0,Stadio Giuseppe Meazza,Luca Massimi,/en/matches/e70ac4b1/Internazionale-Sassuolo-September-27-2023-Serie-A,,e70ac4b1,1.0,2.0
6,Wed,2023-09-27,20:45,Lazio,0.9,2–0,0.3,Torino,35100.0,Stadio Olimpico,Michael Fabbri,/en/matches/69d105e3/Lazio-Torino-September-27-2023-Serie-A,,69d105e3,2.0,0.0
6,Wed,2023-09-27,20:45,Napoli,3.3,4–1,0.7,Udinese,45305.0,Stadio Diego Armando Maradona,Gianluca Manganiello,/en/matches/464aa9ae/Napoli-Udinese-September-27-2023-Serie-A,,464aa9ae,4.0,1.0
6,Thu,2023-09-28,18:30,Frosinone,0.7,1–1,1.4,Fiorentina,14755.0,Stadio Benito Stirpe,Francesco Fourneau,/en/matches/c8e4b03a/Frosinone-Fiorentina-September-28-2023-Serie-A,,c8e4b03a,1.0,1.0
6,Thu,2023-09-28,20:45,Genoa,1.1,4–1,1.4,Roma,32961.0,Stadio Comunale Luigi Ferraris,Daniele Orsato,/en/matches/44c33847/Genoa-Roma-September-28-2023-Serie-A,,44c33847,4.0,1.0
6,Thu,2023-09-28,18:30,Monza,0.7,0–0,0.7,Bologna,8930.0,U-Power Stadium,Ivan Pezzuto,/en/matches/9a8e6c44/Monza-Bologna-September-28-2023-Serie-A,,9a8e6c44,0.0,0.0
7,Sat,2023-09-30,15:00,Lecce,0.5,0–4,2.5,Napoli,27588.0,Stadio Comunale Via Del Mare,Luca Pairetto,/en/matches/4c10f199/Lecce-Napoli-September-30-2023-Serie-A,,4c10f199,0.0,4.0
7,Sat,2023-09-30,18:00,Milan,2.2,2–0,0.5,Lazio,72035.0,Stadio Giuseppe Meazza,Davide Massa,/en/matches/a315e1cc/Milan-Lazio-September-30-2023-Serie-A,,a315e1cc,2.0,0.0
7,Sat,2023-09-30,20:45,Salernitana,0.6,0–4,2.3,Inter,28085.0,Stadio Arechi,Rosario Abisso,/en/matches/276d542d/Salernitana-Internazionale-September-30-2023-Serie-A,,276d542d,0.0,4.0
7,Sun,2023-10-01,18:00,Atalanta,1.2,0–0,0.2,Juventus,14811.0,Gewiss Stadium,Daniele Chiffi,/en/matches/13a50e02/Atalanta-Juventus-October-1-2023-Serie-A,,13a50e02,0.0,0.0
7,Sun,2023-10-01,12:30,Bologna,2.4,3–0,0.9,Empoli,23689.0,Stadio Renato Dall'Ara,Fabio Maresca,/en/matches/8f129029/Bologna-Empoli-October-1-2023-Serie-A,,8f129029,3.0,0.0
7,Sun,2023-10-01,20:45,Roma,0.6,2–0,0.9,Frosinone,62638.0,Stadio Olimpico,Matteo Marchetti,/en/matches/0133f321/Roma-Frosinone-October-1-2023-Serie-A,,0133f321,2.0,0.0
7,Sun,2023-10-01,15:00,Udinese,1.3,2–2,0.8,Genoa,20805.0,Bluenergy Stadium,Maurizio Mariani,/en/matches/507d7e86/Udinese-Genoa-October-1-2023-Serie-A,,507d7e86,2.0,2.0
7,Mon,2023-10-02,20:45,Fiorentina,1.2,3–0,0.8,Cagliari,27309.0,Stadio Artemio Franchi,Marco Di Bello,/en/matches/7dd8d98a/Fiorentina-Cagliari-October-2-2023-Serie-A,,7dd8d98a,3.0,0.0
7,Mon,2023-10-02,18:30,Sassuolo,1.4,0–1,1.5,Monza,10165.0,Mapei Stadium - Città del Tricolore,Luca Zufferli,/en/matches/13b84a7a/Sassuolo-Monza-October-2-2023-Serie-A,,13b84a7a,0.0,1.0
7,Mon,2023-10-02,18:30,Torino,0.6,0–0,0.3,Hellas Verona,19419.0,Stadio Olimpico di Torino,Ermanno Feliciani,/en/matches/ea8ff4b0/Torino-Hellas-Verona-October-2-2023-Serie-A,,ea8ff4b0,0.0,0.0
8,Fri,2023-10-06,18:30,Empoli,1.3,0–0,0.7,Udinese,7128.0,Stadio Carlo Castellani,Michael Fabbri,/en/matches/2397e099/Empoli-Udinese-October-6-2023-Serie-A,,2397e099,0.0,0.0
8,Fri,2023-10-06,20:45,Lecce,1.7,1–1,1.5,Sassuolo,26160.0,Stadio Comunale Via Del Mare,Juan Sacchi,/en/matches/26509ebd/Lecce-Sassuolo-October-6-2023-Serie-A,,26509ebd,1.0,1.0
8,Sat,2023-10-07,20:45,Genoa,0.5,0–1,0.6,Milan,33157.0,Stadio Comunale Luigi Ferraris,Marco Piccinini,/en/matches/3bd415eb/Genoa-Milan-October-7-2023-Serie-A,,3bd415eb,0.0,1.0
8,Sat,2023-10-07,15:00,Inter,0.7,2–2,1.3,Bologna,74072.0,Stadio Giuseppe Meazza,Marco Guida,/en/matches/b46d0026/Internazionale-Bologna-October-7-2023-Serie-A,,b46d0026,2.0,2.0
8,Sat,2023-10-07,18:00,Juventus,1.9,2–0,0.6,Torino,38858.0,Allianz Stadium,Davide Massa,/en/matches/1d1f902c/Juventus-Torino-October-7-2023-Serie-A,,1d1f902c,2.0,0.0
8,Sun,2023-10-08,18:00,Cagliari,1.7,1–4,2.6,Roma,16307.0,Unipol Domus,Simone Sozza,/en/matches/604ceaa0/Cagliari-Roma-October-8-2023-Serie-A,,604ceaa0,1.0,4.0
8,Sun,2023-10-08,15:00,Frosinone,1.8,2–1,0.8,Hellas Verona,13034.0,Stadio Benito Stirpe,Maria Sole Ferrieri Caputi,/en/matches/ea945c75/Frosinone-Hellas-Verona-October-8-2023-Serie-A,,ea945c75,2.0,1.0
8,Sun,2023-10-08,15:00,Lazio,1.6,3–2,1.0,Atalanta,41000.0,Stadio Olimpico,Daniele Orsato,/en/matches/c0603b97/Lazio-Atalanta-October-8-2023-Serie-A,,c0603b97,3.0,2.0
8,Sun,2023-10-08,12:30,Monza,2.8,3–0,0.6,Salernitana,12494.0,U-Power Stadium,Luca Massimi,/en/matches/d0fdea52/Monza-Salernitana-October-8-2023-Serie-A,,d0fdea52,3.0,0.0
8,Sun,2023-10-08,20:45,Napoli,1.8,1–3,2.1,Fiorentina,45000.0,Stadio Diego Armando Maradona,Federico La Penna,/en/matches/2cc7a7ed/Napoli-Fiorentina-October-8-2023-Serie-A,,2cc7a7ed,1.0,3.0
9,Sat,2023-10-21,15:00,Hellas Verona,1.3,1–3,2.3,Napoli,20549.0,Stadio Marc'Antonio Bentegodi,Rosario Abisso,/en/matches/a4d889b8/Hellas-Verona-Napoli-October-21-2023-Serie-A,,a4d889b8,1.0,3.0
9,Sat,2023-10-21,20:45,Sassuolo,0.5,0–2,2.3,Lazio,15597.0,Mapei Stadium - Città del Tricolore,Marco Di Bello,/en/matches/b756439f/Sassuolo-Lazio-October-21-2023-Serie-A,,b756439f,0.0,2.0
9,Sat,2023-10-21,18:00,Torino,0.4,0–3,2.5,Inter,26193.0,Stadio Olimpico di Torino,Matteo Marchetti,/en/matches/e8141133/Torino-Internazionale-October-21-2023-Serie-A,,e8141133,0.0,3.0
9,Sun,2023-10-22,18:00,Atalanta,1.2,2–0,1.0,Genoa,14848.0,Gewiss Stadium,Livio Marinelli,/en/matches/045aca2a/Atalanta-Genoa-October-22-2023-Serie-A,,045aca2a,2.0,0.0
9,Sun,2023-10-22,15:00,Bologna,1.5,2–1,1.5,Frosinone,26729.0,Stadio Renato Dall'Ara,Daniele Doveri,/en/matches/04811e11/Bologna-Frosinone-October-22-2023-Serie-A,,04811e11,2.0,1.0
9,Sun,2023-10-22,20:45,Milan,0.3,0–1,1.4,Juventus,75676.0,Stadio Giuseppe Meazza,Maurizio Mariani,/en/matches/bea57463/Milan-Juventus-October-22-2023-Serie-A,,bea57463,0.0,1.0
9,Sun,2023-10-22,12:30,Roma,1.7,1–0,0.4,Monza,62022.0,Stadio Olimpico,Giovanni Ayroldi,/en/matches/87563b45/Roma-Monza-October-22-2023-Serie-A,,87563b45,1.0,0.0
9,Sun,2023-10-22,15:00,Salernitana,1.5,2–2,1.7,Cagliari,17409.0,Stadio Arechi,Daniele Chiffi,/en/matches/6635e569/Salernitana-Cagliari-October-22-2023-Serie-A,,6635e569,2.0,2.0
9,Mon,2023-10-23,20:45,Fiorentina,1.0,0–2,1.5,Empoli,43147.0,Stadio Artemio Franchi,Federico Dionisi,/en/matches/e961a763/Fiorentina-Empoli-October-23-2023-Serie-A,,e961a763,0.0,2.0
9,Mon,2023-10-23,18:30,Udinese,2.1,1–1,0.8,Lecce,20113.0,Bluenergy Stadium,Paride Tremolada,/en/matches/cd802be7/Udinese-Lecce-October-23-2023-Serie-A,,cd802be7,1.0,1.0
