week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id,home_goals,away_goals
27,Sun,2024-03-03,15:00,Frosinone,1.3,1–1,1.2,Lecce,15334.0,Stadio Benito Stirpe,Marco Guida,/en/matches/0960e2c8/Frosinone-Lecce-March-3-2024-Serie-A,,0960e2c8,1.0,1.0
27,Sun,2024-03-03,12:30,Hellas Verona,0.4,1–0,0.5,Sassuolo,19338.0,Stadio Marc'Antonio Bentegodi,Fabio Maresca,/en/matches/90141069/Hellas-Verona-Sassuolo-March-3-2024-Serie-A,,90141069,1.0,0.0
27,Sun,2024-03-03,20:45,Napoli,2.1,2–1,1.6,Juventus,52000.0,Stadio Diego Armando Maradona,Maurizio Mariani,/en/matches/51db492f/Napoli-Juventus-March-3-2024-Serie-A,,51db492f,2.0,1.0
27,Mon,2024-03-04,20:45,Inter,1.8,2–1,0.8,Genoa,75421.0,Stadio Giuseppe Meazza,Giovanni Ayroldi,/en/matches/c4577218/Internazionale-Genoa-March-4-2024-Serie-A,,c4577218,2.0,1.0
28,Fri,2024-03-08,20:45,Napoli,1.6,1–1,0.9,Torino,42000.0,Stadio Diego Armando Maradona,Daniele Orsato,/en/matches/9d189799/Napoli-Torino-March-8-2024-Serie-A,,9d189799,1.0,1.0
28,Sat,2024-03-09,18:00,Bologna,0.6,0–1,0.9,Inter,30204.0,Stadio Renato Dall'Ara,Luca Pairetto,/en/matches/de22618d/Bologna-Internazionale-March-9-2024-Serie-A,,de22618d,0.0,1.0
28,Sat,2024-03-09,15:00,Cagliari,3.3,4–2,0.9,Salernitana,16118.0,Unipol Domus,Francesco Fourneau,/en/matches/446ec5e0/Cagliari-Salernitana-March-9-2024-Serie-A,,446ec5e0,4.0,2.0
28,Sat,2024-03-09,20:45,Genoa,2.1,2–3,1.7,Monza,,Stadio Comunale Luigi Ferraris,Ermanno Feliciani,/en/matches/f8dba673/Genoa-Monza-March-9-2024-Serie-A,,f8dba673,2.0,3.0
28,Sat,2024-03-09,15:00,Sassuolo,0.6,1–0,1.3,Frosinone,11189.0,Mapei Stadium - Città del Tricolore,Federico La Penna,/en/matches/def050b8/Sassuolo-Frosinone-March-9-2024-Serie-A,,def050b8,1.0,0.0
28,Sun,2024-03-10,20:45,Fiorentina,2.1,2–2,0.6,Roma,30438.0,Stadio Artemio Franchi,Davide Massa,/en/matches/363812cb/Fiorentina-Roma-March-10-2024-Serie-A,,363812cb,2.0,2.0
28,Sun,2024-03-10,18:00,Juventus,1.3,2–2,0.5,Atalanta,39206.0,Allianz Stadium,Marco Guida,/en/matches/b18f50f9/Juventus-Atalanta-March-10-2024-Serie-A,,b18f50f9,2.0,2.0
28,Sun,2024-03-10,12:30,Lecce,1.0,0–1,0.6,Hellas Verona,25222.0,Stadio Comunale Via Del Mare,Daniele Chiffi,/en/matches/d48f5312/Lecce-Hellas-Verona-March-10-2024-Serie-A,,d48f5312,0.0,1.0
28,Sun,2024-03-10,15:00,Milan,0.8,1–0,0.2,Empoli,70343.0,Stadio Giuseppe Meazza,Juan Sacchi,/en/matches/11b229fa/Milan-Empoli-March-10-2024-Serie-A,,11b229fa,1.0,0.0
28,Mon,2024-03-11,20:45,Lazio,2.2,1–2,1.2,Udinese,34000.0,Stadio Olimpico,Gianluca Aureliano,/en/matches/b33bb354/Lazio-Udinese-March-11-2024-Serie-A,,b33bb354,1.0,2.0
29,Fri,2024-03-15,20:45,Empoli,1.0,0–1,2.3,Bologna,16000.0,Stadio Carlo Castellani,Michael Fabbri,/en/matches/241bbdd3/Empoli-Bologna-March-15-2024-Serie-A,,241bbdd3,0.0,1.0
29,Sat,2024-03-16,20:45,Frosinone,2.1,2–3,2.9,Lazio,15780.0,Stadio Benito Stirpe,Antonio Rapuano,/en/matches/8ec58037/Frosinone-Lazio-March-16-2024-Serie-A,,8ec58037,2.0,3.0
29,Sat,2024-03-16,15:00,Monza,1.0,1–0,0.4,Cagliari,14145.0,U-Power Stadium,Matteo Marcenaro,/en/matches/d2087228/Monza-Cagliari-March-16-2024-Serie-A,,d2087228,1.0,0.0
29,Sat,2024-03-16,18:00,Salernitana,1.2,0–1,1.2,Lecce,15376.0,Stadio Arechi,Fabio Maresca,/en/matches/4a8236bd/Salernitana-Lecce-March-16-2024-Serie-A,,4a8236bd,0.0,1.0
29,Sat,2024-03-16,15:00,Udinese,0.4,0–2,1.0,Torino,21223.0,Bluenergy Stadium,Andrea Colombo,/en/matches/6309f668/Udinese-Torino-March-16-2024-Serie-A,,6309f668,0.0,2.0
29,Sun,2024-03-17,15:00,Hellas Verona,0.5,1–3,2.7,Milan,26165.0,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,/en/matches/73d4a95b/Hellas-Verona-Milan-March-17-2024-Serie-A,,73d4a95b,1.0,3.0
29,Sun,2024-03-17,20:45,Inter,1.6,1–1,1.4,Napoli,71551.0,Stadio Giuseppe Meazza,Federico La Penna,/en/matches/3ea9e35f/Internazionale-Napoli-March-17-2024-Serie-A,,3ea9e35f,1.0,1.0
29,Sun,2024-03-17,12:30,Juventus,1.0,0–0,0.2,Genoa,40098.0,Allianz Stadium,Antonio Giua,/en/matches/4406f8bc/Juventus-Genoa-March-17-2024-Serie-A,,4406f8bc,0.0,0.0
29,Sun,2024-03-17,18:00,Roma,0.7,1–0,0.5,Sassuolo,66871.0,Stadio Olimpico,Gianluca Manganiello,/en/matches/a59ffc20/Roma-Sassuolo-March-17-2024-Serie-A,,a59ffc20,1.0,0.0
30,Sat,2024-03-30,20:45,Fiorentina,1.4,1–2,3.1,Milan,34273.0,Stadio Artemio Franchi,Fabio Maresca,/en/matches/a9ac1dd4/Fiorentina-Milan-March-30-2024-Serie-A,,a9ac1dd4,1.0,2.0
30,Sat,2024-03-30,15:00,Genoa,1.5,1–1,0.8,Frosinone,31462.0,Stadio Comunale Luigi Ferraris,Juan Sacchi,/en/matches/949865c6/Genoa-Frosinone-March-30-2024-Serie-A,,949865c6,1.0,1.0
30,Sat,2024-03-30,18:00,Lazio,1.1,1–0,0.5,Juventus,53000.0,Stadio Olimpico,Andrea Colombo,/en/matches/2b4a58d1/Lazio-Juventus-March-30-2024-Serie-A,,2b4a58d1,1.0,0.0
